Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;33.80;4;9788873340096;Daneri COMPITI DI MAT. PER APPROFONDIRE;3.70;19;70.30;54;33,80 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;138.74;5;9788873340102;Daneri COMPITI DI MAT. PER POTENZIARE;3.70;78;288.60;54;138,74 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;1.78;6;9788873340164;Gandolfi COMPITI LING. IT. PER INIZIARE;3.70;1;3.70;54;1,78 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;138.74;7;9788873340171;Gandolfi COMPITI LING. IT. PER PROGREDIRE;3.70;78;288.60;54;138,74 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;60.48;8;9788873340188;Gandolfi COMPITI LING. IT. PER SCOPRIRE;3.70;34;125.80;54;60,48 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;72.93;9;9788873340195;Gandolfi COMPITI LING. IT. PER APPROFONDIRE;3.70;41;151.70;54;72,93 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;136.98;10;9788873340201;Gandolfi COMPITI LING. IT. PER POTENZIARE;3.70;77;284.90;54;136,98 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;14.23;11;9788873340218;Gandolfi PRIMI PASSI nella lingua italiana;3.70;8;29.60;54;14,23 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;64.90;12;9788873340256;aa.vv. LAB. MATEMATICA + PERCORSO 1¡ LIV.;25.00;5;125.00;50;64,90 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;98.65;13;9788873340508;aa.vv. LAB. MATEMATICA + PERCORSO 2¡ LIV.;38.00;5;190.00;50;98,65 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;51.92;14;9788873340829;aa.vv. LAB. MATEMATICA + PERCORSO 3¡ LIV.;25.00;4;100.00;50;51,92 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;24.40;15;9788873341277;Gandolfi VALUTAZIONE scuola primaria;23.50;2;47.00;50;24,40 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;20.77;16;9788873340263;Rampoldi IL CLUB DI LEONARDO PER INIZIARE;4.80;9;43.20;54;20,77 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;10.19;17;9788873340270;Rampoldi IL CLUB DI LEONARDO PER PROGREDIRE;5.30;4;21.20;54;10,19 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;7.64;18;9788873340287;Rampoldi IL CLUB DI LEONARDO PER SCOPRIRE;5.30;3;15.90;54;7,64 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;20.87;19;9788873340294;Rampoldi IL CLUB DI LEONARDO PER APPROFONDIRE;6.20;7;43.40;54;20,87 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;32.79;20;9788873340300;Rampoldi IL CLUB DI LEONARDO PER POTENZIARE;6.20;11;68.20;54;32,79 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;38.94;21;9788873340317;aa.vv. LABORATORIO PER LE ATTIVITA' MOTORIE;25.00;3;75.00;50;38,94 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;11.92;22;9788873340379;aa.vv. BUONO A SAPERSI! PER INIZIARE;6.20;4;24.80;54;11,92 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;11.92;23;9788873340386;aa.vv. BUONO A SAPERSI! PER PROGREDIRE;6.20;4;24.80;54;11,92 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;11.92;24;9788873340393;aa.vv. BUONO A SAPERSI! PER SCOPRIRE;6.20;4;24.80;54;11,92 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;15.87;25;9788873340409;aa.vv. BUONO A SAPERSI! PER APPROFONDIRE;6.60;5;33.00;54;15,87 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;9.52;26;9788873340416;aa.vv. BUONO A SAPERSI! PER POTENZIARE;6.60;3;19.80;54;9,52 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;11.42;27;9788873340447;aa.vv. PAROLE PER IL MONDO - TUTTI A SCUOLA;5.50;4;22.00;50;11,42 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;5.71;28;9788873340454;aa.vv. PAROLE PER IL MONDO - LA CASA;5.50;2;11.00;50;5,71 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;11.42;29;9788873340478;aa.vv. PAROLE PER IL MONDO - MI PIACE...;5.50;4;22.00;50;11,42 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;11.42;30;9788873340485;aa.vv. PAROLE PER IL MONDO - L'AMBIENTE;5.50;4;22.00;50;11,42 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;31.20;31;9788873340614;Valerio COME Si scrive PER INIZIARE;5.90;11;64.90;54;31,20 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;17.02;32;9788873340621;Valerio COME Si scrive PER PROGREDIRE;5.90;6;35.40;54;17,02 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;14.18;33;9788873340645;Valerio COME Si scrive PER APPROFONDIRE;5.90;5;29.50;54;14,18 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;60.58;34;9788873340669;Gandolfi CON PAROLE MIE;14.00;9;126.00;54;60,58 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;17.02;35;9788873340836;Pagano COME Si conta PER INIZIARE;5.90;6;35.40;54;17,02 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;22.69;36;9788873340843;Pagano COME Si conta PER PROGREDIRE;5.90;8;47.20;54;22,69 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;19.86;37;9788873340867;Pagano COME Si conta PER APPROFONDIRE;5.90;7;41.30;54;19,86 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;6.75;38;9788873340683;aa.vv. RISORSE-IMPARO CON L'ARTEsegno e disegno;6.50;2;13.00;50;6,75 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;19.99;39;9788873340706;aa.vv. RISORSE-ALLE ORIGINI DELLA MUSICA;5.50;7;38.50;50;19,99 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;8.57;40;9788873340713;aa.vv. RISORSE-PRIMA POESIA;5.50;3;16.50;50;8,57 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;6.75;41;9788873340720;aa.vv. RISORSE-IMPARO CON L'ARTE il colore;6.50;2;13.00;50;6,75 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;14.28;42;9788873340744;aa.vv. RISORSE-FACCIAMO TEATRO le ombre;5.50;5;27.50;50;14,28 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;2.86;43;9788873340751;aa.vv. RISORSE-USARE IL DIZIONARIO;5.50;1;5.50;50;2,86 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;5.71;44;9788873340881;aa.vv. RISORSE-VIVERE IN MESOPOTAMIA;5.50;2;11.00;50;5,71 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;8.57;45;9788873340898;aa.vv. RISORSE-LA SCATOLA DELLE MERAVIGLIE;5.50;3;16.50;50;8,57 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;5.71;46;9788873340911;aa.vv. RISORSE-PAROLE IN FORMA DI POESIA;5.50;2;11.00;50;5,71 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;729/F;30/11/22;240.42;;1;;Rifer. D.D.T. n¡ 1.176 del 04/11/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;729/F;30/11/22;240.42;33.23;2;9788873343493;Maria Crisstina Peccianti PAROLE PER IL MONDO PIU' Guida docente;32.00;2;64.00;50;33,23 Û;74.00;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;729/F;30/11/22;240.42;19.73;3;9788873343516;"Vedovato - Zanette PAROLE PER IL MONDO PIU' Quaderno
1";9.50;4;38.00;50;19,73 Û;74.00;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;729/F;30/11/22;240.42;19.73;4;9788873343509;"Vedovato - Zanette PAROLE PER IL MONDO PIU' Quaderno
2";9.50;4;38.00;50;19,73 Û;74.00;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;729/F;30/11/22;240.42;37.38;5;9788873343523;Grenzi CAA- Quaderno prerequisiti - Vol. A;18.00;4;72.00;50;37,38 Û;74.00;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;729/F;30/11/22;240.42;37.38;6;9788873343530;Grenzi CAA- Quaderno prerequisiti - Vol. B;18.00;4;72.00;50;37,38 Û;74.00;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;729/F;30/11/22;240.42;;7;;Rifer. D.D.T. n¡ 1.289 del 10/11/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;729/F;30/11/22;240.42;89.42;8;9788873341857;Negri MISSIONE-ITALIANO per approfondire;6.20;30;186.00;54;89,42 Û;74.00;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;729/F;30/11/22;240.42;3.55;9;;Spese di trasporto;;;;;3,55;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;;1;;Rifer. D.D.T. n¡ 912 del 19/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;0.00;2;9788873349181;AA.VV. VOCE TERRAPIU' CL.4_Guida GEO;1.00;3;3.00;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;0.00;3;9788873347880;aa.vv. IL MIO LIBRO FACILE cl. 2;0.02;5;0.10;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;0.00;4;9788873347552;aa.vv. IL MIO LIBRO FACILE cl. 4-Suss Discipl;0.02;20;0.40;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;;5;;Rifer. D.D.T. n¡ 926 del 20/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;142.31;6;9788873340102;Daneri COMPITI DI MAT. PER POTENZIARE;3.70;80;296.00;54;142,31 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;14.28;7;9788873340447;aa.vv. PAROLE PER IL MONDO - TUTTI A SCUOLA;5.50;5;27.50;50;14,28 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;14.28;8;9788873340461;aa.vv. PAROLE PER IL MONDO - IL TEMPO;5.50;5;27.50;50;14,28 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;13.50;9;9788873341475;aa.vv. LA CICALA E LA FORMICA 1;13.00;2;26.00;50;13,50 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;75.00;10;9788873341833;Valerio MISSIONE-ITALIANO per progredire;5.20;30;156.00;54;75,00 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;75.00;11;9788873341840;Valerio MISSIONE-ITALIANO per scoprire;5.20;30;156.00;54;75,00 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;50.00;12;9788873341888;Pagano MISSIONE-MAT e SCIENZE per progredire;5.20;20;104.00;54;50,00 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;89.42;13;9788873341901;Pagano MISSIONE-MAT e SCIENZE per approfondire;6.20;30;186.00;54;89,42 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;60.58;14;9788873341932;Lancetti MISSIONE-STORIA GEOGRAFIA per progredire;4.20;30;126.00;54;60,58 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;43.27;15;9788873341949;Lancetti MISSIONE-STORIA GEOGRAFIA per scoprire;4.50;20;90.00;54;43,27 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;81.00;16;9788873343370;aa.vv. MISSIONE INVALSI CL.2 - Italiano (2021);3.90;40;156.00;50;81,00 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;81.00;17;9788873343387;aa.vv. MISSIONE INVALSI CL.2 - Matematica(2021);3.90;40;156.00;50;81,00 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;101.25;18;9788873343394;aa.vv. MISSIONE INVALSI CL.5 - Italiano (2021);3.90;50;195.00;50;101,25 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;101.25;19;9788873343400;aa. vv. MISSIONE INVALSI CL.5 - Matematica(2021);3.90;50;195.00;50;101,25 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;101.25;20;9788873343417;aa.vv. MISSIONE INVALSI CL.5 - Inglese (2021);3.90;50;195.00;50;101,25 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;;21;;Rifer. D.D.T. n¡ 1.023 del 26/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;60.75;22;9788873343394;aa.vv. MISSIONE INVALSI CL.5 - Italiano (2021);3.90;30;117.00;50;60,75 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;60.75;23;9788873343400;aa. vv. MISSIONE INVALSI CL.5 - Matematica(2021);3.90;30;117.00;50;60,75 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;;24;;Rifer. D.D.T. n¡ 1.051 del 27/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;14.28;25;9788873340430;aa.vv. PAROLE PER IL MONDO - IO MI PRESENTO;5.50;5;27.50;50;14,28 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;14.28;26;9788873340454;aa.vv. PAROLE PER IL MONDO - LA CASA;5.50;5;27.50;50;14,28 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;51.40;27;9788873340492;aa.vv. PAROLE PER IL MONDO - GUIDA AL PROGETTO;33.00;3;99.00;50;51,40 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;574/F;28/10/22;1263.52;18.67;28;;Spese di trasporto;;;;;18,67 Û;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;376/F;30/09/22;1619.92;;1;;Rifer. D.D.T. n¡ 433 del 14/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;376/F;30/09/22;1619.92;797.99;2;9788873348924;aa.vv. VOCE TERRA PIU' CL 4 area antrop complet;9.88;100;988.00;20;797,99 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;376/F;30/09/22;1619.92;797.99;3;9788873348931;aa.vv. VOCE TERRA PIU' CL 4 area mate completo;9.88;100;988.00;20;797,99 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;376/F;30/09/22;1619.92;23.94;4;;Spese di trasporto;;;;;23,94 Û;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;;1;;Rifer. D.D.T. n¡ 228 del 29/08/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;0.00;2;9788873348740;aa.vv. IMPARO E MI DIVERTO CL.2 Guida_Linguaggi;0.02;1;0.02;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;0.00;3;9788873348733;aa.vv. IMPARO E MI DIVERTO CL.2 Guida_Disciplin;0.02;2;0.04;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;0.00;4;9788873349211;AA.VV. VOCE TERRAPIU' CL.4_Guida MATEMATICA;1.00;3;3.00;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;0.00;5;9788873349204;AA.VV. VOCE TERRAPIU' CL.4_Guida SCIENZE;1.00;3;3.00;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;0.00;6;9788873349198;AA.VV. VOCE TERRAPIU' CL.4_Guida STORIA;1.00;3;3.00;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;0.00;7;9788873349181;AA.VV. VOCE TERRAPIU' CL.4_Guida GEO;1.00;3;3.00;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;0.00;8;9788873346593;aa.vv. POSTER SUSS. DISCIPL. CL. 4_area matem;0.02;3;0.06;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;0.00;9;9788873346609;aa.vv. POSTER SUSS. DISCIPL. CL. 4_area antrop;0.02;3;0.06;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;0.00;10;9788873346470;aa.vv. SUSSIDIARIO DISCIPLINE CL. 4_GUIDA CLIL;0.02;3;0.06;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;174/F;31/08/22;0.00;0.00;11;9788873348801;aa.vv. POSTER InvestigaTESTO CL. 4/5;0.02;7;0.14;100;;74;;;;;;;;;;;;;;;;;;;
